learning_rate,max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,1,1,0.8695653440752908,0.8695754949276076,0.6139463584352033,0.6102292020373514,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,2,0.8695653440752908,0.8695754949276076,0.6177036655695266,0.6173976608187134,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,4,0.8695653440752908,0.8695754949276076,0.6440033575322474,0.6167043953970949,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,8,0.8695653440752908,0.8695754949276076,0.7812570072348901,0.7194456234672704,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,16,0.8903688420101835,0.8884664631143504,0.8056072155484217,0.7736240803621959,1.0,1.0,0.9407055409227498,0.9398615149343629,0.15946321642429426,0.14269005847953217
0.05,1,32,0.8973817692664439,0.8947847926721166,0.8258894413553843,0.78598259762309,1.0,1.0,0.9442862783514249,0.9430828062570165,0.21324493869404054,0.1915204678362573
0.05,1,64,0.9077443953156907,0.9031813257165371,0.8506403954763284,0.8163778060743256,0.9998207885304659,0.9975806451612904,0.9496196759401728,0.9472860336571074,0.2938587111491303,0.27163742690058484
0.05,1,100,0.9139777779396516,0.9038757017630259,0.8537253929161646,0.8181262969251085,0.9995519713261649,0.9943548387096776,0.9528503818490321,0.9474551432115259,0.34343455945252355,0.29883040935672517
0.05,1,128,0.9159256075737598,0.9052743031616272,0.8574725852314827,0.8110993208828523,0.9991935483870968,0.9935483870967744,0.9538535520547515,0.9481496723768197,0.3607499287140006,0.31461988304093563
0.05,2,1,0.8695653440752908,0.8695754949276076,0.7460824526701845,0.699989388794567,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,2,0.8695653440752908,0.8695754949276076,0.7579163150273953,0.7314822674966988,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
